S..No,item,itemLabel
179,http://www.wikidata.org/entity/Q68484241,Dr. M.G. Manjunatha
180,http://www.wikidata.org/entity/Q68898656,Dr N PrabhuShankara
181,http://www.wikidata.org/entity/Q31320108,Soubhagya Kumar Mishra
182,http://www.wikidata.org/entity/Q96901165,Srikanta Dash
183,http://www.wikidata.org/entity/Q15725460,Achyutananda Goswami
184,http://www.wikidata.org/entity/Q99393692,Sanjay Chaudhary
185,http://www.wikidata.org/entity/Q47493011,E. T. Tyson
186,http://www.wikidata.org/entity/Q29035453,Bijay Kumar Nanda
187,http://www.wikidata.org/entity/Q12979856,Ka. Ratnam
188,http://www.wikidata.org/entity/Q104290764,John Britto Parisutham
189,http://www.wikidata.org/entity/Q105487770,Ijteba Nadwi
190,http://www.wikidata.org/entity/Q105747039,N. Vasudevan Pillai
191,http://www.wikidata.org/entity/Q108542732,S. Manikchand Singh
192,http://www.wikidata.org/entity/Q110914676,Prof. Salil Kumar Sarkar
193,http://www.wikidata.org/entity/Q102146762,Prof. Samir Kumar Sarkar
194,http://www.wikidata.org/entity/Q104178425,A. K. Appu
195,http://www.wikidata.org/entity/Q104438839,M. Govindarajan
196,http://www.wikidata.org/entity/Q105481543,Ramniklal Maru
197,http://www.wikidata.org/entity/Q116168133,S. Majumdar
198,http://www.wikidata.org/entity/Q106578986,Shankarlal Purohit
199,http://www.wikidata.org/entity/Q111049031,Pradeep Kumar Panda
200,http://www.wikidata.org/entity/Q61478782,Priyanath Dey
201,http://www.wikidata.org/entity/Q102157955,Narayanaswamy Balakrishnan
202,http://www.wikidata.org/entity/Q96773154,Raj Kumar Yadav
203,http://www.wikidata.org/entity/Q66973155,Zoe Ansari
204,http://www.wikidata.org/entity/Q59524655,Nagendranath Gangulee
205,http://www.wikidata.org/entity/Q112520920,Ram Babu Singh
206,http://www.wikidata.org/entity/Q102139047,Sujit Kumar Mitra
207,http://www.wikidata.org/entity/Q4764657,Anil Kumar Gupta
208,http://www.wikidata.org/entity/Q7296738,Ravindra Nanda
209,http://www.wikidata.org/entity/Q102204278,Kesar Singh
210,http://www.wikidata.org/entity/Q102312475,P. R. Parthasarathy
211,http://www.wikidata.org/entity/Q124638159,Khagendranath Mitra
212,http://www.wikidata.org/entity/Q102232908,Moulinath Banerjee
213,http://www.wikidata.org/entity/Q12983063,Thiruvenkata Rajendra Seshadri
214,http://www.wikidata.org/entity/Q7530629,Sirshendu De
215,http://www.wikidata.org/entity/Q37392297,Sayan Mukherjee
216,http://www.wikidata.org/entity/Q102124028,Sastry Gouripathi Pantula
217,http://www.wikidata.org/entity/Q102168978,Jon N. K. Rao
218,http://www.wikidata.org/entity/Q102188917,Prabir Burman
219,http://www.wikidata.org/entity/Q102247244,Kamalakar Karlapalem
220,http://www.wikidata.org/entity/Q102399921,Anand Nayak
221,http://www.wikidata.org/entity/Q107462,Har Gobind Khorana
222,http://www.wikidata.org/entity/Q108653191,Rupak Chakravarty
223,http://www.wikidata.org/entity/Q109479938,Francis-Vincent Anthony
224,http://www.wikidata.org/entity/Q102190108,Rajendra Bhansali
225,http://www.wikidata.org/entity/Q102195769,Sanat K. Sarkar
226,http://www.wikidata.org/entity/Q102361038,Natesh Pillai
227,http://www.wikidata.org/entity/Q102367477,Bodhisattva Sen
228,http://www.wikidata.org/entity/Q103030743,Manohar P. Kamat
229,http://www.wikidata.org/entity/Q102158542,I. M. Chakravarti
230,http://www.wikidata.org/entity/Q102162489,Pramod K. Pathak
231,http://www.wikidata.org/entity/Q102205860,Anirban DasGupta
232,http://www.wikidata.org/entity/Q102124429,Naresh Jain
233,http://www.wikidata.org/entity/Q102105026,Amarjit Budhiraja
234,http://www.wikidata.org/entity/Q115631934,Ajit Kumar Dasgupta
235,http://www.wikidata.org/entity/Q115757408,Vinayak M. Joshi
236,http://www.wikidata.org/entity/Q102302040,Jayant V. Deshpande
237,http://www.wikidata.org/entity/Q2127239,Raghavan Narasimhan
238,http://www.wikidata.org/entity/Q106516620,Ven Murthy
239,http://www.wikidata.org/entity/Q107488138,Chinubhai Khatri
240,http://www.wikidata.org/entity/Q107622879,Shameer Modongal
241,http://www.wikidata.org/entity/Q108560215,Mukhtaruddin Ahmed
242,http://www.wikidata.org/entity/Q58794970,Dinesh Kumar
243,http://www.wikidata.org/entity/Q123122755,Birendra Nath Ganguli
244,http://www.wikidata.org/entity/Q112972046,Siddhartha Paul Tiwari
245,http://www.wikidata.org/entity/Q59674472,Siddhartha Mishra
246,http://www.wikidata.org/entity/Q115689950,Aditya Bharadwaj
247,http://www.wikidata.org/entity/Q116257419,Abdul Ghani Azhari
248,http://www.wikidata.org/entity/Q117384006,Yogesh Singh Chauhan
249,http://www.wikidata.org/entity/Q117546534,Projit Bihari Mukharji
250,http://www.wikidata.org/entity/Q112765234,Maulana Naseer Ahmad Khan
251,http://www.wikidata.org/entity/Q6725626,V. Abdur Rahim
252,http://www.wikidata.org/entity/Q120330439,Jagan Mohan Mohapatra
253,http://www.wikidata.org/entity/Q121125620,Suhail Ahmad nadwi
254,http://www.wikidata.org/entity/Q121363619,Ravindra D. Kulkarni
255,http://www.wikidata.org/entity/Q121714436,Sunil Bhagwat
256,http://www.wikidata.org/entity/Q967521,Simon Pimenta
257,http://www.wikidata.org/entity/Q1356865,Kannan Soundararajan
258,http://www.wikidata.org/entity/Q60607873,Lallit Anand
259,http://www.wikidata.org/entity/Q1789103,Krishna Baldev Vaid
260,http://www.wikidata.org/entity/Q1885953,Maitreesh Ghatak
261,http://www.wikidata.org/entity/Q2035098,Jadunath Sarkar
262,http://www.wikidata.org/entity/Q2160834,Rocque Lobo
